Dokumen,Acara,Username,Tweet,Kelas
test1,Tukang Ojek Pengkolan,ANDRI78226054†,@TOP_RCTI kocak,1
test2,Tukang Ojek Pengkolan,Bagas_Aditya87†,@TOP_RCTI lucuu banget sinetron nya,1
test3,Tukang Ojek Pengkolan,purisampalan,@TOP_RCTI sore2 enaknya nonton TOP,1
test4,Tukang Ojek Pengkolan,dani_eizza†,@TOP_RCTI seru banget,1
test5,Tukang Ojek Pengkolan,AminMbois,@TOP_RCTI top paling top,1
test6,Tukang Ojek Pengkolan,Ipung_Starpanrz†,@TOP_RCTI Makin Seru Aja Sinetronnya,1
test7,Tukang Ojek Pengkolan,DhanKoembara†,@TOP_RCTI.TOP Semakin sini semakin seru pokonya jangan sampai ketinggalan deh,1
test8,Tukang Ojek Pengkolan,wandimboiz†,@TOP_RCTI saya sangat terhibur dg nie acara.....,1
test9,Tukang Ojek Pengkolan,riangomes1†,Tukang ojeg keren abis.nonton top sambil ngemil biskuit legend haha hah sukses selalu buat #rcti @TOP_RCTI,1
test10,Tukang Ojek Pengkolan,edho_86,Wow senangnya liat para pemain TOP @TOP_RCTI cuma masukkan untk keselamatan di jln ada baiknya helmnya di pasang dgn baik ya#savety,1
test11,Tukang Ojek Pengkolan,gusar140295,@TOP_RCTI film TOP lucu,1
test12,Tukang Ojek Pengkolan,jaashter†,#RCTI_TOP seruuu... #TOPRCTI @TOP_RCTI,1
test13,Tukang Ojek Pengkolan,nidya_Gustina,wah gak sabar pengen nonton @TOP_RCTI,1
test14,Tukang Ojek Pengkolan,gusar140295†,@TOP_RCTI film TOP lucu,1
test15,Tukang Ojek Pengkolan,†omarbociel,@TOP_RCTI #DramaSeriesTerbaik Mantap TOP Bikin suasana sore tambah ceria Nonton TOP di temani secangkir kopii.. Serasa dunia ane yg punyaa,1
test16,Tukang Ojek Pengkolan,RereHer,@aseli_top jngn mlm2 dunk min tayangnya..!! :(,-1
test17,Berkah Cinta,ErniIndrawati_,Kok gue kesel ya sama yg nmanya sarah itu munafik bnget @BC_SCTV #BerkahCinta,-1
test18,Berkah Cinta,layyajah†,Njs ngelihat muka tante sarah itu! Bikin males nonton gak layak ada di sinetron ini!ada perempuan itu~ @BerkahCinta_ @BC_SCTV #BerkahCinta,-1
test19,Berkah Cinta,heris_40,@BC_SCTV sinetron kejam banget lebih kejam dari anugrah cinta wanita pun mau di jatuhkan di kali.cc@KPI_Pusat,-1
test20,Berkah Cinta,Aqmals,Kesel eh liat venus makan ati #BerkahCinta,-1
test21,Berkah Cinta,GunDinda†,Senang sekali malam ini ntn @BC_SCTV karna scene tama tania buat aku baper puul.#BerkahCinta,1
test22,Berkah Cinta,PermanasariEka†,@BC_SCTV gokill bkin semua bapper brrat,1
test23,Berkah Cinta,hani180596,@BC_SCTV film kesayangan,1
test24,Berkah Cinta,AfzRamadhan12†,@BC_SCTV jadi males nonton nya gk seru kalo udh bgini mah nunggu aja deh kalo tania @irishbella234 sama eros @Giorgino_Arka udah menyatu,-1
test25,Berkah Cinta,Naura16758565,serru banget,1
test26,Berkah Cinta,NaniSugiarni†,@BC_SCTV #BerkahCinta lagi seru nehhh semoga ertan jadi nikah.,1
test27,Berkah Cinta,GinoDesi†,Pecinta BC SCTV @BerkahcintaLand @berkahcinta_tv @BC_SCTV @Ibel234 @Giorgino_Abr,1
test28,Berkah Cinta,NenengSalamah12,#BerkahCinta ok @BC_SCTV,1
test29,Berkah Cinta,wulanardyn7,#BerkahCinta aduhhh mulai ngacoh yaaaa,-1
test30,Berkah Cinta,kippung_eva,Sinet yang ditunggutunggu udah mulai #BerkahCinta baper gemes @ibell234 @Ibel234 @Giorgino_Abr @DonnyMichael‚Ä,1
test31,Berkah Cinta,wulanardyn7,#BerkahCinta najis gajelass HHH LUCU!@WinlyWin,-1
test32,Berkah Cinta,NaniSugiarni†,@WinlyWin goblokkkk bikin sinetron koq gk jelas @BerkahCint_SCTV,-1
test33,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
test34,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Semakin Lucu Dan menarik cerita drama nya sih aceng sma edoy sih akum sma Dadang sih dikatain sih aceng,1
test35,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Seru enak Nonton dunia terbalik hanya di rcti Oke paling no.1 indosia para tokoh nya lebih seru https://t.co/hn1Zdsh8rl,1
test36,Dunia Terbalik,asep_iden,Mantap #TabligAkbar,1
test37,Dunia Terbalik,punjabi_jihans,@DT_RCTI aduhh lucu binggo Ketawa mulu dari tadi hahhahaha,1
test38,Dunia Terbalik,asep_obi,@DT_RCTI makin mantap dan menghibur.I LOVE YOU Bu Guru Yola. @anjanidinavdw #DuniaTerbalikRCTI,1
test39,Dunia Terbalik,andhy928,@DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
test40,Dunia Terbalik,selamatcitra,@Enie_Soebrana Enakkan lagi nonton @LayarDrama_RCTI @DT_RCTI. Lebih seru,1
test41,Dunia Terbalik,Raka97gmailCom,@DT_RCTI @syahnazs93 @anjanidinavdw lebih kocak semua moga sukses ya,1
test42,Dunia Terbalik,selamatcitra,Dari pd mkn hati lbih baik minum kopi smbil nonton @DT_RCTI https://t.co/kTBoKNnYI8,1
test43,Dunia Terbalik,prastiob000,@2Fansbase @OfficialRCTI sinetron yg kocak pas bngt kalo LG santai nntn @DT_RCTI pasti ketawa ga bosan,1
test44,Dunia Terbalik,sitibadriyati2,@DT_RCTI aceng si pejuang cinta mantep,1
test45,Dunia Terbalik,IkaGone,Serius bgt om @sutansimatupang dngerin cerita mak suha nya wkwk @DT_RCTI #DuniaTerbalik,1
test46,Dunia Terbalik,IwanPlh,@DT_RCTI @OfficialRCTI Mantaf si Dadang pedeut..,1
test47,Dunia Terbalik,GundalaPetir8,@DT_RCTI Mantap x ting nyah lucu,1
test48,Dunia Terbalik,dessrainbow,@DT_RCTI enaaaaak bangeett min..,1
test49,Anak langit,DokterC66421551†,@AnakLangitSCTV_ cerita cinta nya seru,1
test50,Anak langit,wwwpeleng_com,jangan terlalu banyak donk iklannya bikin bete aja,-1
test51,Anak langit,lobin_hot†,@AnakLangitSCTV_ mantap kata anak saya,1
test52,Anak langit,wandi_naziha†,tolong jgn terlalu banyak hayalan jd ga seru nonton nya..,-1
test53,Anak langit,zulpan_siregar,KREN LAH POKOk nya,1
test54,Anak langit,IrulLangit,makin hari makin keren top dah pokeknye semoge tim RAIMBO pemenangnye,1
test55,Anak langit,gabrieljoanseg1†,@AnakLangitSCTV_ SERU SEKALI FILMNYA PADA WAKTU BAKU PUKUL ANTAR GENG.........,1
test56,Anak langit,gabrieljoanseg1†,ITU SANGAT SERU SAAT BALAPAN........,1
test57,Anak langit,NovaPrakoso4,aku gak suka sinetron alay,-1
test58,Anak langit,attin_citra,Anak langit keren banget Apa lagi Al dan vika nya,1
test59,Anak langit,Sulisti95026626†,udah males nontonnya si emon jarang nongol kebanyakan si andra ma tari bosennn.. Jauh banget sama AJ,-1
test60,Anak langit,DwiSetiyawan14†,menurutku alur ceritanya terlalu datar biasa saja dan mudah di tebak.,-1
test61,Anak langit,Alfurqonhidaya1,@AnakLangitSCTV_ Seru,1
test62,Anak langit,Anjas11y,@AnakLangitSCTV_ mantap anak langit,1
test63,Anak langit,Tunggala1,@AnakLangitSCTV_ @JhonSjbt @DailymotionUSA Suka nonton,1
test64,Anak langit,verawat24528833,@AnakLangitSCTV_ anak langit makin keren. Semangat terus buat cumi n udang üòÅüòÅ,1
