Dokumen,Acara,Username,Tweet,Kelas
train1,Tukang Ojek Pengkolan,vitaxxi92,@TOP_RCTI @OfficialRCTI Tolong kalau setelah iklan adegan yang sebelumnya jangan diulang lagi. Terima kasih,-1
train2,Tukang Ojek Pengkolan,7adoel,@Top_rcti wooi tukang ojek pengkolan kok nggak tayang @OfficialRCTI,-1
train3,Tukang Ojek Pengkolan,Sobariahmed82�,@TOP_RCTIfilm pling enak di tonton tingkatkan trz RCTI tayangan TOP byk yg suka nonton bareng oke deh,1
train4,Tukang Ojek Pengkolan,DepoxNax�,@TOP_RCTI pokoknya TOP mantab jiwa wkwkwk,1
train5,Tukang Ojek Pengkolan,DepoxNax�,@TOP_RCTI mantap jiwa deh pokoknya,1
train6,Tukang Ojek Pengkolan,Ekos19918781�,@TOP_RCTI sedih banget klo acarane udahan krn blm puas lht mba ratna yg chantik... ,-1
train7,Tukang Ojek Pengkolan,Abdulwa25888234�,@TOP_RCTI pemain yg dulu pada kemana kurang seru,-1
train8,Tukang Ojek Pengkolan,arjunpratama87�,@TOP_RCTI tukang ojek pengkolan membosankan terlalu dibuat2.terus lama banget kelarnya. Menjengkelkan.!!!!!,-1
train9,Tukang Ojek Pengkolan,fandi08985811,@TOP_RCTI : hebat dan lucu haha,1
train10,Tukang Ojek Pengkolan,om_jhony69�,@TOP_RCTI kok hari ini episode TOP di ulangi....jdi nggak seru nontonnya,-1
train11,Tukang Ojek Pengkolan,pdehanif�,@TOP_RCTI isinya iklan mulu sekarang @MNC_Pictures @OfficialRCTI .. :(,-1
train12,Tukang Ojek Pengkolan,A_F_R1993�,@TOP_RCTI ngelucu tuh gak harus menghina fisik seseorang !! garing bgt !! ojak,-1
train13,Tukang Ojek Pengkolan,Dodo27627092�,@TOP_RCTI makin seru ajah,1
train14,Tukang Ojek Pengkolan,albertusyolan10�,Sukses terus @TOP_RCTI menghibur dan menceritakan kehidupan sehari. Smoga smpek ratusan ribu episode hhe #TOP #RCTI,1
train15,Tukang Ojek Pengkolan,NisrinaZahrah,@TOP_RCTI seru bgt ????,1
train16,Tukang Ojek Pengkolan,AdriantoLukman,@TOP_RCTI sipp banget acra e,1
