Dokumen,Acara,Username,Tweet,Kelas
test1,Tukang Ojek Pengkolan,ANDRI78226054 ,@TOP_RCTI kocak,1
test2,Tukang Ojek Pengkolan,Bagas_Aditya87 ,@TOP_RCTI lucuu banget sinetron nya,1
test3,Tukang Ojek Pengkolan,purisampalan,@TOP_RCTI sore2 enaknya nonton TOP,1
test4,Tukang Ojek Pengkolan,dani_eizza ,@TOP_RCTI seru banget,1
test5,Tukang Ojek Pengkolan,AminMbois,@TOP_RCTI top paling top,1
test6,Tukang Ojek Pengkolan,Ipung_Starpanrz ,@TOP_RCTI Makin Seru Aja Sinetronnya,1
test7,Tukang Ojek Pengkolan,DhanKoembara ,@TOP_RCTI.TOP Semakin sini semakin seru pokonya jangan sampai ketinggalan deh,1
test8,Tukang Ojek Pengkolan,wandimboiz ,@TOP_RCTI saya sangat terhibur dg nie acara.....,1
test9,Berkah Cinta,ErniIndrawati_,Kok gue kesel ya sama yg nmanya sarah itu munafik bnget @BC_SCTV #BerkahCinta,-1
test10,Berkah Cinta,layyajah ,Njs ngelihat muka tante sarah itu! Bikin males nonton gak layak ada di sinetron ini!ada perempuan itu~ @BerkahCinta_ @BC_SCTV #BerkahCinta,-1
test11,Berkah Cinta,heris_40,@BC_SCTV sinetron kejam banget lebih kejam dari anugrah cinta wanita pun mau di jatuhkan di kali.cc@KPI_Pusat,-1
test12,Berkah Cinta,Aqmals,Kesel eh liat venus makan ati #BerkahCinta,-1
test13,Berkah Cinta,GunDinda ,Senang sekali malam ini ntn @BC_SCTV karna scene tama tania buat aku baper puul.#BerkahCinta,1
test14,Berkah Cinta,PermanasariEka ,@BC_SCTV gokill bkin semua bapper brrat,1
test15,Berkah Cinta,hani180596,@BC_SCTV film kesayangan,1
test16,Berkah Cinta,AfzRamadhan12 ,@BC_SCTV jadi males nonton nya gk seru kalo udh bgini mah nunggu aja deh kalo tania @irishbella234 sama eros @Giorgino_Arka udah menyatu,-1
test17,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
test18,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Semakin Lucu Dan menarik cerita drama nya sih aceng sma edoy sih akum sma Dadang sih dikatain sih aceng,1
test19,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Seru enak Nonton dunia terbalik hanya di rcti Oke paling no.1 indosia para tokoh nya lebih seru https://t.co/hn1Zdsh8rl,1
test20,Dunia Terbalik,asep_iden,Mantap #TabligAkbar,1
test21,Dunia Terbalik,punjabi_jihans,@DT_RCTI aduhh lucu binggo Ketawa mulu dari tadi hahhahaha,1
test22,Dunia Terbalik,asep_obi,@DT_RCTI makin mantap dan menghibur.I LOVE YOU Bu Guru Yola. @anjanidinavdw #DuniaTerbalikRCTI,1
test23,Dunia Terbalik,andhy928,@DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
test24,Dunia Terbalik,selamatcitra,@Enie_Soebrana Enakkan lagi nonton @LayarDrama_RCTI @DT_RCTI. Lebih seru,1
test25,Anak langit,DokterC66421551 ,@AnakLangitSCTV_ cerita cinta nya seru,1
test26,Anak langit,wwwpeleng_com,jangan terlalu banyak donk iklannya bikin bete aja,-1
test27,Anak langit,lobin_hot ,@AnakLangitSCTV_ mantap kata anak saya,1
test28,Anak langit,wandi_naziha ,tolong jgn terlalu banyak hayalan jd ga seru nonton nya..,-1
test29,Anak langit,zulpan_siregar,KREN LAH POKOk nya,1
test30,Anak langit,IrulLangit,makin hari makin keren top dah pokeknye semoge tim RAIMBO pemenangnye,1
test31,Anak langit,gabrieljoanseg1 ,@AnakLangitSCTV_ SERU SEKALI FILMNYA PADA WAKTU BAKU PUKUL ANTAR GENG.........,1
test32,Anak langit,gabrieljoanseg1 ,ITU SANGAT SERU SAAT BALAPAN........,1
